player_tag,player_name,brawler_name,rank,highest_trophies,3vs3_victories,exp_level
2RC9GQL0R,Silly,PIPER,30,1004,19942,274
889RCCGUG,~Wind🖤Hour~,PIPER,30,1003,15494,244
8CCYYCYLP,Porkchops,PIPER,27,876,18237,304
2GCJJP0G,⚡️ØMEGÅ⚡️,PIPER,30,1029,17889,274
809PG92U,ForsakenLord,PIPER,29,951,16386,256
LQV9JUL8,Bad Company,PIPER,30,1015,29844,322
22222CYJV,izan,PIPER,28,905,15319,263
9JLJ8GJP,Xx$nipedxX,PIPER,30,1032,27555,283
CGLCUUVC,wlr tream,PIPER,28,902,13485,244
2GRL8G0CL,Dank,PIPER,26,836,18924,295
P28VQJRY,ben 🧸,PIPER,30,1004,23086,286
2YYCJ8829,926,PIPER,30,1007,14937,255
2CY0JRYJ,Sync,PIPER,30,1012,16811,228
8PRCJVP8J,𝚒𝚗𝚝𝚣𝚣 ニャー,PIPER,26,845,15553,256
8YU8GVQU,erpesPR,PIPER,25,795,20887,273
RPLCCUGC,Vladic,PIPER,26,838,12176,275
22C2Q2UCL,winston,PIPER,30,1003,9671,198
2280JCC0U,LubLub43,PIPER,24,749,35968,346
Q8RPQ9PCY,Bjorn_,PIPER,24,730,15593,218
2YR9LQ8UR,blanc 🌗,PIPER,30,1004,20098,259
8L9LG9GR,ShinyBoii👨🏿,PIPER,30,1032,22165,268
U0J98UR,¿police?,PIPER,25,785,12312,223
RV0VCCC,flii,PIPER,27,855,13731,263
92CRCURUR,zerobold,PIPER,23,679,21192,302
2CCP2CVLP,⭐️🩸,PIPER,26,806,21870,293
28R08CUJ0,Themzi,PIPER,25,783,27737,345
QVCR8URC,Astrid ヤギ,PIPER,27,899,13811,233
20CV8CUUQ,aona 🧸,PIPER,30,1003,31180,341
88Q9CVGGC,Pyromancer,PIPER,28,913,14391,222
8QVU8LU90,kappø,PIPER,25,786,13312,208
